"permanencia","taxa_reprovacao","permanencia_por_semestre","quant_matricula","status"
0.18,0.0,0.12,5.0,-1
1.18,0.44,1.12,33.0,-1
0.48,0.31,0.38,13.0,-1
1.26,0.23,1.25,36.0,1
0.13,0.0,0.38,4.0,-1
0.18,1.0,0.12,5.0,-1
0.21,0.38,0.25,6.0,-1
1.21,0.18,1.5,35.0,1
0.33,0.35,0.62,9.0,1
1.23,0.31,1.38,34.0,-1
0.72,0.52,0.88,20.0,-1
0.54,0.55,0.62,15.0,-1
0.48,0.14,0.38,14.0,-1
0.84,0.31,0.88,23.0,-1
1.13,0.12,1.0,33.0,-1
0.52,0.44,0.5,14.0,-1
0.89,0.11,0.88,24.0,-1
0.59,0.06,0.62,16.0,-1
0.18,0.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,-1
0.85,0.19,0.88,23.0,-1
0.18,1.0,0.12,5.0,-1
1.31,0.18,1.5,38.0,1
0.56,0.62,0.5,15.0,1
0.3,0.0,0.25,8.0,1
1.31,0.16,1.38,38.0,1
0.3,0.0,0.25,8.0,1
0.18,0.0,0.12,5.0,-1
1.46,0.31,1.25,41.0,1
0.66,0.12,0.62,18.0,-1
1.0,0.0,1.0,29.0,1
1.23,0.13,1.38,36.0,1
1.05,0.05,1.12,30.0,1
0.18,1.0,0.12,5.0,-1
0.87,0.08,1.0,24.0,1
1.08,0.08,1.12,31.0,1
1.0,0.0,1.0,29.0,1
1.21,0.18,1.5,35.0,1
1.39,0.28,1.25,39.0,1
1.1,0.12,1.0,31.0,1
0.93,0.49,0.88,26.0,-1
0.11,1.0,0.12,3.0,-1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
0.38,0.22,0.62,10.0,-1
0.9,0.78,0.88,25.0,-1
0.18,0.73,0.12,5.0,1
1.25,0.05,1.5,36.0,-1
1.13,0.12,1.0,33.0,-1
0.36,0.36,0.25,10.0,-1
0.18,0.0,0.12,5.0,-1
0.66,0.72,0.88,17.0,-1
0.3,0.0,0.25,8.0,1
0.84,0.0,0.88,24.0,1
0.7,0.44,0.75,19.0,-1
1.13,0.28,1.12,31.0,-1
0.64,0.0,0.5,18.0,1
0.67,0.0,0.5,19.0,1
0.31,0.37,0.25,8.0,-1
0.48,0.31,0.5,13.0,1
0.59,0.17,0.5,16.0,-1
0.18,0.82,0.12,5.0,-1
0.57,0.26,0.5,16.0,-1
1.07,0.0,1.0,31.0,1
0.18,1.0,0.12,5.0,-1
0.33,0.3,0.25,9.0,-1
1.03,0.03,1.0,30.0,1
0.34,0.24,0.38,9.0,-1
0.18,1.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,1
1.21,0.47,1.25,33.0,-1
1.0,0.0,1.0,29.0,1
0.18,1.0,0.12,5.0,-1
1.11,0.09,1.12,32.0,1
0.74,0.38,0.75,21.0,-1
0.07,1.0,0.12,2.0,-1
0.48,0.14,0.5,13.0,-1
0.3,0.0,0.25,8.0,1
0.97,0.2,1.25,27.0,-1
1.0,0.07,1.12,29.0,-1
0.18,1.0,0.12,5.0,-1
1.39,0.31,1.5,39.0,1
0.59,0.06,0.5,16.0,1
1.48,0.6,1.5,41.0,-1
0.66,0.7,0.62,19.0,-1
1.0,0.0,1.0,29.0,1
0.3,0.0,0.25,8.0,1
1.0,0.03,1.0,29.0,1
0.18,1.0,0.12,5.0,-1
0.3,0.0,0.25,8.0,-1
1.28,0.18,1.38,36.0,-1
0.26,0.19,0.25,7.0,1
0.82,0.46,0.88,23.0,-1
1.0,0.0,1.0,29.0,1
0.21,0.54,0.25,6.0,-1
0.18,0.0,0.12,5.0,-1
1.15,0.03,1.5,33.0,1
1.18,0.06,1.38,34.0,1
0.9,0.15,1.12,26.0,1
0.18,0.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
0.97,0.53,1.12,26.0,-1
0.75,0.28,0.62,21.0,1
1.41,0.29,1.25,40.0,1
0.69,0.26,0.88,19.0,-1
0.15,0.78,0.25,4.0,-1
0.18,0.82,0.12,5.0,-1
1.74,0.3,1.75,50.0,-1
1.51,0.4,1.75,42.0,-1
0.26,0.38,0.25,7.0,-1
1.18,0.1,1.25,34.0,1
0.18,1.0,0.12,5.0,-1
1.25,0.18,1.25,35.0,-1
1.44,0.33,1.38,41.0,1
0.54,0.12,0.5,15.0,-1
1.13,0.3,1.38,33.0,1
1.07,0.03,1.0,31.0,1
0.16,0.0,0.25,4.0,-1
0.21,0.0,0.38,6.0,-1
0.52,0.12,0.62,14.0,-1
0.67,0.0,0.5,19.0,1
0.56,0.53,0.5,15.0,1
0.3,0.0,0.25,8.0,1
0.82,0.56,0.88,22.0,-1
1.34,0.23,1.5,38.0,1
0.23,0.5,0.12,6.0,-1
1.21,0.54,1.12,35.0,-1
1.16,0.17,1.0,33.0,1
0.3,0.0,0.25,8.0,-1
0.41,0.56,0.38,11.0,-1
0.74,0.11,0.62,20.0,-1
1.39,0.28,1.75,40.0,1
0.33,0.55,0.25,9.0,1
0.3,0.17,0.25,8.0,1
0.64,0.0,0.5,18.0,1
1.15,0.1,1.12,33.0,1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
1.41,0.38,1.62,41.0,-1
1.15,0.13,1.25,33.0,1
0.18,1.0,0.12,5.0,-1
0.62,0.16,0.88,18.0,1
0.57,0.43,0.62,16.0,-1
0.7,0.09,0.5,19.0,-1
1.15,0.31,0.88,32.0,-1
0.97,0.0,1.0,28.0,1
0.67,0.05,0.75,19.0,-1
1.0,0.0,0.88,29.0,1
1.0,0.03,1.12,29.0,-1
0.54,0.06,0.5,15.0,-1
0.49,0.47,0.5,13.0,-1
1.03,0.03,1.0,30.0,1
0.18,0.0,0.12,5.0,-1
1.52,0.28,1.62,43.0,-1
0.8,0.53,0.75,22.0,-1
0.18,1.0,0.12,5.0,-1
0.3,0.28,0.38,8.0,-1
0.39,0.0,0.5,11.0,-1
1.38,0.21,1.38,40.0,1
0.15,1.0,0.12,4.0,-1
1.05,0.25,1.0,29.0,-1
0.75,0.11,0.62,21.0,-1
0.33,0.2,0.25,9.0,1
0.3,0.33,0.25,8.0,1
1.75,0.48,1.75,50.0,-1
0.18,0.27,0.12,5.0,-1
0.33,0.3,0.25,9.0,-1
0.57,0.34,0.88,16.0,-1
0.33,0.45,0.25,9.0,-1
1.28,0.19,1.25,36.0,1
0.18,0.36,0.12,5.0,-1
1.44,0.3,1.5,41.0,1
1.46,0.25,2.0,42.0,-1
0.51,0.23,0.38,14.0,-1
0.44,0.56,0.5,12.0,1
0.26,0.25,0.25,7.0,-1
1.13,0.2,1.12,32.0,1
0.82,0.38,0.88,22.0,-1
0.18,0.27,0.12,5.0,-1
0.16,0.0,0.38,5.0,-1
0.69,0.57,0.88,19.0,-1
1.03,0.03,1.0,30.0,1
0.18,1.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,1
0.2,0.42,0.25,5.0,-1
0.18,0.0,0.12,5.0,-1
1.03,0.03,1.12,30.0,1
0.72,0.45,0.88,20.0,-1
1.02,0.11,0.88,29.0,-1
0.18,0.0,0.12,5.0,-1
0.3,0.0,0.25,8.0,1
0.92,0.54,0.88,25.0,-1
0.18,1.0,0.12,5.0,-1
0.33,0.4,0.25,9.0,1
1.0,0.18,1.12,28.0,1
0.18,1.0,0.12,5.0,-1
0.36,0.59,0.38,10.0,-1
1.33,0.22,1.62,39.0,1
0.38,0.39,0.38,10.0,-1
1.34,0.4,1.62,38.0,-1
0.18,1.0,0.12,5.0,-1
0.23,0.64,0.25,6.0,-1
0.82,0.28,0.88,24.0,1
0.39,0.29,0.5,11.0,1
0.48,0.1,0.38,13.0,-1
1.03,0.03,1.12,30.0,1
0.33,0.1,0.25,9.0,1
1.03,0.03,1.0,30.0,1
0.67,0.0,0.5,19.0,1
0.18,0.0,0.12,5.0,-1
1.23,0.19,1.38,35.0,1
0.49,0.17,0.75,13.0,-1
1.26,0.16,1.38,36.0,1
0.18,0.0,0.12,5.0,-1
0.39,0.12,0.5,10.0,-1
1.05,0.0,0.88,30.0,-1
0.3,0.39,0.25,8.0,1
0.49,0.07,0.5,13.0,-1
0.18,1.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
0.18,1.0,0.12,5.0,-1
0.33,0.3,0.25,9.0,1
0.3,0.11,0.25,8.0,1
0.82,0.24,0.75,24.0,-1
0.8,0.22,0.88,23.0,1
0.3,0.0,0.25,8.0,1
0.95,0.31,1.0,27.0,-1
0.52,0.66,0.5,14.0,-1
0.44,0.07,0.38,12.0,-1
0.41,0.8,0.38,11.0,-1
0.23,0.5,0.12,6.0,-1
1.25,0.22,1.38,35.0,1
0.11,1.0,0.12,3.0,-1
0.3,0.0,0.25,8.0,1
1.0,0.0,1.0,29.0,1
0.64,0.13,0.62,18.0,-1
0.23,0.64,0.25,6.0,-1
0.18,1.0,0.12,5.0,-1
1.34,0.17,1.38,38.0,1
0.18,1.0,0.12,5.0,-1
1.23,0.16,1.25,35.0,-1
1.25,0.2,1.25,36.0,-1
0.36,0.32,0.5,10.0,-1
0.18,0.0,0.12,5.0,-1
0.33,0.8,0.25,9.0,-1
0.18,0.18,0.12,5.0,-1
1.3,0.23,1.25,38.0,-1
0.3,0.0,0.25,8.0,1
1.0,0.0,1.0,29.0,1
1.34,0.26,1.5,39.0,-1
1.03,0.03,1.0,30.0,-1
0.26,0.0,0.12,7.0,-1
0.36,0.41,0.25,10.0,-1
0.67,0.0,0.5,19.0,1
1.26,0.21,1.62,36.0,-1
0.64,0.46,0.88,18.0,-1
0.1,0.33,0.25,3.0,1
0.18,0.0,0.12,5.0,-1
0.33,0.0,0.25,9.0,-1
0.44,0.0,0.38,12.0,-1
0.18,1.0,0.12,5.0,-1
0.26,0.0,0.25,7.0,-1
1.43,0.26,1.5,40.0,1
0.48,0.45,0.38,13.0,-1
0.69,0.4,0.62,19.0,-1
0.77,0.26,0.75,21.0,-1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
1.02,0.18,1.12,29.0,-1
0.67,0.61,0.62,18.0,-1
0.56,0.06,0.75,17.0,1
1.3,0.42,1.38,37.0,-1
0.18,1.0,0.12,5.0,-1
0.92,0.39,1.25,26.0,1
0.44,0.48,0.5,12.0,1
0.18,0.0,0.12,5.0,-1
0.18,0.18,0.12,5.0,-1
1.39,0.28,1.62,41.0,-1
0.72,0.2,0.62,20.0,-1
1.18,0.08,1.12,34.0,1
0.33,0.2,0.25,9.0,1
0.54,0.18,0.5,15.0,-1
0.51,0.48,0.5,14.0,-1
0.16,0.0,0.12,4.0,-1
0.77,0.13,0.88,22.0,1
0.39,0.46,0.38,11.0,-1
0.98,0.22,1.62,28.0,1
1.28,0.19,1.25,37.0,-1
0.18,0.18,0.12,5.0,-1
0.69,0.26,0.75,19.0,1
0.18,1.0,0.12,5.0,-1
0.93,0.04,1.0,27.0,1
1.16,0.14,1.12,33.0,1
0.18,1.0,0.12,5.0,-1
0.18,0.0,0.12,5.0,-1
1.08,0.11,1.38,31.0,1
1.16,0.14,1.25,34.0,-1
0.77,0.26,0.75,21.0,-1
0.77,0.28,1.12,22.0,1
0.98,0.27,1.0,28.0,-1
1.07,0.0,1.12,31.0,1
0.93,0.18,1.12,26.0,-1
0.48,0.45,0.5,13.0,-1
0.23,0.5,0.25,6.0,-1
0.3,0.11,0.25,8.0,1
1.08,0.17,1.25,30.0,-1
0.84,0.0,0.88,24.0,1
0.98,0.15,1.0,28.0,1
0.92,0.04,1.0,26.0,1
1.16,0.31,1.25,34.0,-1
0.15,1.0,0.12,4.0,-1
1.2,0.14,1.25,35.0,-1
0.18,1.0,0.12,5.0,-1
0.84,0.0,0.88,24.0,-1
0.84,0.0,0.88,24.0,1
1.1,0.0,1.12,32.0,1
0.9,0.42,0.75,25.0,-1
0.87,0.04,0.88,25.0,1
0.33,0.1,0.25,9.0,1
1.0,0.0,1.0,29.0,1
0.69,0.55,0.75,19.0,1
1.03,0.03,1.25,30.0,1
0.28,0.0,0.25,8.0,1
1.0,0.0,1.12,29.0,1
0.61,0.0,0.5,17.0,1
0.44,0.33,0.38,12.0,-1
0.93,0.21,0.75,27.0,-1
0.18,1.0,0.12,5.0,-1
0.38,0.09,0.38,10.0,-1
1.59,0.3,1.88,44.0,1
0.79,0.31,0.62,22.0,-1
0.48,0.55,0.5,13.0,-1
0.33,0.1,0.25,9.0,1
0.98,0.0,1.12,28.0,1
0.38,0.91,0.38,10.0,-1
1.34,0.23,1.5,38.0,-1
0.97,0.07,1.12,28.0,1
1.11,0.09,1.12,32.0,-1
1.23,0.19,1.12,36.0,1
1.0,0.0,1.0,29.0,1
1.72,0.46,1.62,48.0,-1
0.51,0.0,0.5,14.0,-1
0.3,0.22,0.25,8.0,1
0.8,0.33,1.12,22.0,1
0.18,1.0,0.12,5.0,-1
1.3,0.2,1.5,38.0,-1
1.3,0.18,1.88,38.0,-1
0.69,0.43,0.5,19.0,1
1.02,0.19,1.12,29.0,-1
1.54,0.39,1.62,43.0,-1
0.84,0.0,0.88,24.0,1
0.18,1.0,0.12,5.0,-1
1.08,0.05,1.0,31.0,1
0.52,0.56,0.5,14.0,-1
1.31,0.26,1.5,37.0,1
1.07,0.34,1.12,30.0,-1
1.52,0.31,1.75,43.0,1
1.0,0.31,1.25,29.0,-1
0.38,0.43,0.38,10.0,-1
0.74,0.42,0.88,20.0,-1
0.51,0.52,0.62,14.0,-1
0.38,0.43,0.38,10.0,-1
1.15,0.49,1.38,32.0,-1
0.56,0.47,0.5,15.0,-1
0.79,0.04,0.88,23.0,-1
1.03,0.16,1.25,30.0,1
1.02,0.21,1.0,28.0,-1
1.16,0.17,1.12,33.0,-1
1.28,0.54,1.38,35.0,-1
1.03,0.03,1.12,30.0,1
0.64,0.0,0.5,18.0,1
1.07,0.09,1.0,31.0,1
0.18,1.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,1
0.61,0.14,0.88,17.0,-1
0.26,0.12,0.25,7.0,-1
1.02,0.27,1.12,28.0,-1
0.26,0.0,0.25,7.0,1
0.03,1.0,0.12,1.0,-1
1.0,0.0,1.0,29.0,1
0.85,0.33,1.0,24.0,-1
0.18,1.0,0.12,5.0,-1
1.25,0.17,1.5,35.0,-1
0.18,1.0,0.12,5.0,-1
0.8,0.0,1.0,23.0,-1
0.48,0.31,0.38,13.0,-1
1.28,0.08,1.38,37.0,-1
1.3,0.23,1.38,37.0,1
0.3,0.11,0.25,8.0,1
0.18,1.0,0.12,5.0,-1
0.98,0.32,0.88,28.0,-1
0.3,0.11,0.62,8.0,-1
0.31,0.26,0.25,8.0,-1
0.18,0.0,0.12,5.0,-1
0.26,0.31,0.25,7.0,-1
0.85,0.21,0.75,24.0,-1
0.18,1.0,0.12,5.0,-1
0.59,0.31,0.5,16.0,1
0.33,0.2,0.25,9.0,1
1.08,0.12,1.12,31.0,1
1.23,0.24,1.38,35.0,1
0.64,0.62,0.62,17.0,-1
0.48,0.38,0.38,13.0,-1
0.18,1.0,0.12,5.0,-1
0.3,0.0,0.25,8.0,1
0.82,0.56,0.88,22.0,-1
0.3,0.0,0.25,8.0,1
0.3,0.0,0.25,8.0,1
0.33,0.2,0.25,9.0,-1
0.79,0.15,0.88,22.0,1
0.85,0.31,1.0,24.0,-1
0.57,0.0,0.75,16.0,-1
0.84,0.16,0.88,24.0,1
0.21,0.0,0.12,6.0,-1
0.33,0.4,0.25,9.0,1
0.3,0.28,0.25,8.0,-1
0.44,0.52,0.38,12.0,-1
0.84,0.0,0.88,24.0,1
0.18,0.0,0.12,5.0,-1
0.72,0.32,0.75,19.0,-1
1.0,0.0,1.0,29.0,1
0.64,0.26,0.62,17.0,-1
1.13,0.14,1.38,33.0,1
1.3,0.16,1.5,37.0,1
0.84,0.0,0.75,24.0,1
0.18,0.82,0.12,5.0,-1
0.3,0.11,0.25,8.0,-1
1.25,0.17,1.12,36.0,1
0.8,0.0,0.62,22.0,-1
0.64,0.0,0.5,18.0,1
1.11,0.1,1.0,32.0,1
0.18,0.18,0.12,5.0,-1
1.0,0.0,1.12,29.0,-1
0.18,0.0,0.12,5.0,-1
1.08,0.08,1.12,31.0,1
1.41,0.26,1.25,40.0,-1
0.85,0.1,1.0,24.0,1
0.18,1.0,0.12,5.0,-1
0.85,0.29,0.88,24.0,-1
0.15,1.0,0.12,4.0,-1
0.3,0.11,0.25,8.0,1
0.95,0.22,1.0,27.0,1
1.46,0.24,1.38,42.0,1
1.33,0.28,1.38,38.0,-1
1.02,0.0,1.12,29.0,1
0.25,0.87,0.25,7.0,-1
1.13,0.25,1.12,33.0,-1
1.07,0.03,1.0,31.0,1
1.13,0.29,1.25,33.0,-1
0.48,0.48,0.75,13.0,-1
1.0,0.0,1.0,29.0,1
0.48,0.28,0.62,13.0,-1
0.18,1.0,0.12,5.0,-1
0.98,0.05,1.12,28.0,1
0.8,0.0,0.88,23.0,1
1.18,0.12,1.12,34.0,-1
1.13,0.26,1.12,32.0,1
0.54,0.0,0.5,15.0,-1
0.03,1.0,0.12,1.0,1
0.15,1.0,0.12,4.0,-1
0.3,0.11,0.25,8.0,-1
1.07,0.17,1.12,29.0,-1
0.34,0.67,0.38,9.0,-1
1.08,0.41,1.12,30.0,-1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,-1
0.18,0.45,0.12,5.0,-1
0.18,0.18,0.12,5.0,-1
0.8,0.18,0.88,22.0,-1
0.77,0.32,0.88,22.0,-1
0.18,1.0,0.12,5.0,-1
1.21,0.15,1.25,35.0,1
0.07,0.0,0.12,2.0,-1
0.67,0.0,0.5,19.0,1
1.52,0.34,1.75,42.0,1
0.26,0.56,0.25,7.0,-1
0.18,0.0,0.12,5.0,-1
1.26,0.21,1.12,36.0,1
1.13,0.14,1.38,33.0,1
1.23,0.21,1.25,35.0,1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
0.75,0.39,1.0,21.0,-1
0.18,1.0,0.12,5.0,-1
0.3,0.33,0.25,8.0,1
0.18,1.0,0.12,5.0,-1
0.21,0.0,0.25,6.0,-1
0.48,0.69,0.38,13.0,-1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
0.26,0.0,0.38,7.0,-1
0.18,0.0,0.12,5.0,-1
0.33,0.15,0.5,9.0,-1
1.08,0.08,1.12,31.0,1
0.18,0.0,0.12,5.0,-1
0.64,0.0,0.75,18.0,1
0.18,0.82,0.12,5.0,-1
1.16,0.0,1.25,34.0,1
0.3,0.22,0.25,8.0,1
1.08,0.08,1.0,31.0,1
0.64,0.0,0.5,18.0,1
0.18,0.0,0.12,5.0,-1
0.8,0.24,0.88,23.0,-1
0.87,0.28,0.88,24.0,-1
0.44,0.7,0.38,12.0,-1
0.18,1.0,0.12,5.0,-1
0.21,0.38,0.38,6.0,-1
0.41,0.36,0.38,11.0,-1
0.13,0.0,0.12,4.0,-1
0.41,0.08,0.38,11.0,1
0.26,0.69,0.25,7.0,-1
0.84,0.65,0.75,23.0,1
0.84,0.0,0.88,24.0,1
1.21,0.26,1.38,35.0,1
1.51,0.49,1.75,42.0,-1
1.18,0.46,1.12,32.0,-1
0.84,0.0,0.88,24.0,1
1.44,0.4,1.62,39.0,-1
1.21,0.04,1.25,35.0,1
0.87,0.23,0.88,24.0,1
0.51,0.23,0.38,14.0,-1
0.3,0.0,0.25,8.0,-1
0.56,0.32,0.5,15.0,-1
1.2,0.19,1.12,34.0,-1
0.61,0.05,0.75,17.0,1
1.15,0.13,1.38,33.0,1
1.28,0.21,1.25,36.0,1
0.43,0.0,0.5,11.0,-1
1.3,0.19,1.38,37.0,-1
0.59,0.11,0.5,16.0,1
0.3,0.0,0.25,8.0,1
0.26,0.31,0.25,7.0,-1
0.74,0.27,0.62,20.0,-1
0.18,0.36,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
0.38,1.0,0.38,10.0,-1
1.44,0.28,1.5,41.0,-1
0.18,0.27,0.12,5.0,-1
1.46,0.34,1.75,41.0,1
0.77,0.15,0.88,22.0,1
1.2,0.08,1.38,35.0,-1
0.66,0.42,0.62,18.0,1
0.18,1.0,0.12,5.0,-1
0.93,0.37,0.88,25.0,-1
0.41,0.36,0.5,11.0,1
0.48,0.52,0.5,13.0,-1
0.21,0.69,0.25,6.0,-1
1.34,0.28,1.25,38.0,1
0.18,0.0,0.12,5.0,-1
0.3,0.5,0.25,8.0,-1
1.0,0.03,0.88,29.0,1
1.18,0.29,1.12,32.0,1
0.31,0.11,0.38,9.0,1
0.69,0.21,0.5,19.0,-1
0.18,0.82,0.12,5.0,-1
0.89,0.04,0.88,25.0,-1
1.05,0.2,1.38,30.0,-1
0.61,0.62,0.62,16.0,-1
0.56,0.18,0.5,15.0,-1
0.64,0.15,0.5,18.0,1
0.3,0.0,0.25,8.0,1
1.16,0.42,1.12,33.0,-1
1.36,0.05,1.25,39.0,1
1.0,0.51,0.88,28.0,-1
0.85,0.5,1.0,25.0,-1
0.3,0.89,0.5,8.0,-1
0.93,0.21,1.12,26.0,-1
0.18,1.0,0.12,5.0,-1
0.26,0.31,0.25,7.0,-1
0.18,0.0,0.12,5.0,-1
0.3,0.39,0.25,8.0,-1
0.18,0.0,0.12,5.0,-1
1.15,0.37,1.0,31.0,-1
0.43,0.23,0.62,12.0,-1
0.59,0.33,0.88,16.0,-1
0.84,0.0,0.88,24.0,1
0.48,0.14,0.38,14.0,-1
0.3,0.11,0.25,8.0,1
1.03,0.03,1.0,30.0,1
0.3,0.28,0.25,8.0,-1
0.33,0.2,0.25,9.0,-1
1.1,0.09,1.0,32.0,-1
1.07,0.09,1.12,31.0,1
1.41,0.22,1.38,41.0,-1
0.26,0.25,0.25,7.0,1
0.59,0.33,0.5,16.0,-1
0.18,0.45,0.12,5.0,-1
1.23,0.12,1.25,35.0,1
0.57,0.0,0.5,16.0,-1
1.13,0.12,1.12,32.0,-1
1.11,0.32,1.12,32.0,1
0.64,0.0,0.5,18.0,1
1.21,0.2,1.38,35.0,-1
0.69,0.19,0.75,18.0,-1
1.26,0.14,1.25,36.0,1
1.13,0.04,1.12,32.0,1
0.75,0.35,0.62,21.0,-1
1.3,0.1,1.5,38.0,1
0.92,0.12,0.88,25.0,-1
0.33,0.0,0.25,9.0,1
0.31,0.47,0.38,9.0,-1
0.18,1.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
1.03,0.06,1.0,30.0,1
0.67,0.0,0.75,19.0,1
1.49,0.22,1.75,44.0,1
1.16,0.11,1.38,34.0,1
0.33,0.55,0.25,9.0,-1
0.67,0.73,0.62,18.0,-1
0.18,1.0,0.12,5.0,-1
0.79,0.35,0.75,22.0,1
0.18,1.0,0.12,5.0,-1
0.57,0.17,1.0,17.0,-1
0.57,0.26,0.5,16.0,1
1.0,0.03,1.12,29.0,1
1.15,0.11,1.12,33.0,1
0.18,1.0,0.12,5.0,-1
1.16,0.11,1.25,34.0,-1
0.18,0.0,0.12,5.0,-1
1.03,0.27,1.38,28.0,-1
1.18,0.06,1.12,34.0,1
1.03,0.1,1.0,30.0,-1
0.95,0.4,1.25,27.0,-1
0.18,0.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,1
0.18,0.18,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
1.16,0.11,1.12,34.0,-1
1.0,0.0,1.12,29.0,1
0.18,1.0,0.12,5.0,-1
0.34,0.0,0.38,9.0,-1
0.18,1.0,0.12,5.0,-1
0.79,0.15,0.88,21.0,-1
0.59,0.25,0.5,16.0,-1
0.51,0.0,0.5,14.0,-1
0.25,0.6,0.38,7.0,-1
1.25,0.21,1.12,36.0,-1
0.3,0.89,0.25,8.0,-1
0.15,0.44,0.25,4.0,-1
0.64,0.21,0.62,18.0,-1
0.38,0.57,0.38,10.0,-1
1.0,0.0,1.0,29.0,1
0.23,0.57,0.25,6.0,-1
0.26,0.69,0.38,7.0,-1
1.3,0.23,1.5,37.0,1
1.15,0.11,1.12,33.0,1
0.57,0.26,0.5,16.0,1
1.56,0.27,1.75,47.0,-1
0.84,0.0,0.88,24.0,1
0.18,0.18,0.12,5.0,-1
0.3,0.0,0.25,8.0,-1
0.3,0.28,0.25,8.0,-1
0.3,0.5,0.25,8.0,1
1.33,0.2,1.38,38.0,1
0.74,0.0,0.88,21.0,1
1.46,0.24,1.5,41.0,1
0.11,1.0,0.12,3.0,-1
