"ano_ingresso","homem","mulher","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre_total","semestre_dividido","matricula","tempo_relativo"
2012,1,0,870,0.48,480.0,0.55,4,0.5,13.0,-0.5
2022,1,0,600,0.33,60.0,0.1,2,0.25,9.0,0.25
2019,1,0,1800,0.98,0.0,0.0,9,1.12,28.0,1.12
2012,1,0,690,0.38,630.0,0.91,3,0.38,10.0,-0.38
2010,0,1,2460,1.34,570.0,0.23,12,1.5,38.0,-1.5
2019,1,0,1770,0.97,120.0,0.07,9,1.12,28.0,1.12
2012,1,0,2040,1.11,180.0,0.09,9,1.12,32.0,-1.12
2016,0,1,2250,1.23,420.0,0.19,9,1.12,36.0,1.12
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2010,0,1,3150,1.72,1440.0,0.46,13,1.62,48.0,-1.62
2020,0,1,930,0.51,0.0,0.0,4,0.5,14.0,-0.5
2022,1,0,540,0.3,120.0,0.22,2,0.25,8.0,0.25
2019,1,0,1470,0.8,480.0,0.33,9,1.12,22.0,1.12
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2010,0,1,2370,1.3,480.0,0.2,12,1.5,38.0,-1.5
2016,1,0,2370,1.3,420.0,0.18,15,1.88,38.0,-1.88
2018,0,1,1260,0.69,540.0,0.43,4,0.5,19.0,0.5
2017,1,0,1860,1.02,360.0,0.19,9,1.12,29.0,-1.12
2010,0,1,2820,1.54,1110.0,0.39,13,1.62,43.0,-1.62
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2014,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,1,0,1980,1.08,90.0,0.05,8,1.0,31.0,1.0
2017,0,1,960,0.52,540.0,0.56,4,0.5,14.0,-0.5
2016,1,0,2400,1.31,630.0,0.26,12,1.5,37.0,1.5
2012,0,1,1950,1.07,660.0,0.34,9,1.12,30.0,-1.12
2011,1,0,2790,1.52,870.0,0.31,14,1.75,43.0,1.75
2017,1,0,1830,1.0,570.0,0.31,10,1.25,29.0,-1.25
2010,1,0,690,0.38,300.0,0.43,3,0.38,10.0,-0.38
2014,1,0,1350,0.74,570.0,0.42,7,0.88,20.0,-0.88
2012,0,1,930,0.51,480.0,0.52,5,0.62,14.0,-0.62
2013,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2017,1,0,690,0.38,300.0,0.43,3,0.38,10.0,-0.38
2013,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2011,1,0,2100,1.15,1020.0,0.49,11,1.38,32.0,-1.38
2011,1,0,1020,0.56,480.0,0.47,4,0.5,15.0,-0.5
2011,0,1,1440,0.79,60.0,0.04,7,0.88,23.0,-0.88
2018,1,0,1890,1.03,300.0,0.16,10,1.25,30.0,1.25
2009,1,0,1860,1.02,390.0,0.21,8,1.0,28.0,-1.0
2012,1,0,2130,1.16,360.0,0.17,9,1.12,33.0,-1.12
2009,1,0,2340,1.28,1260.0,0.54,11,1.38,35.0,-1.38
2018,1,0,1890,1.03,60.0,0.03,9,1.12,30.0,1.12
2019,1,0,1680,0.92,0.0,0.0,7,0.88,26.0,0.88
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2014,1,0,1950,1.07,180.0,0.09,8,1.0,31.0,1.0
2020,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2012,1,0,1110,0.61,150.0,0.14,7,0.88,17.0,-0.88
2019,1,0,480,0.26,60.0,0.12,2,0.25,7.0,-0.25
2010,0,1,1860,1.02,510.0,0.27,9,1.12,28.0,-1.12
2021,1,0,480,0.26,0.0,0.0,2,0.25,7.0,0.25
2014,1,0,60,0.03,60.0,1.0,1,0.12,1.0,-0.12
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2010,1,0,1560,0.85,510.0,0.33,8,1.0,24.0,-1.0
2014,1,0,1680,0.92,240.0,0.14,7,0.88,27.0,0.88
2014,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2015,1,0,2280,1.25,390.0,0.17,12,1.5,35.0,-1.5
2017,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2010,1,0,1470,0.8,0.0,0.0,8,1.0,23.0,-1.0
2011,1,0,870,0.48,270.0,0.31,3,0.38,13.0,-0.38
2011,1,0,2340,1.28,180.0,0.08,11,1.38,37.0,-1.38
2017,1,0,2370,1.3,540.0,0.23,11,1.38,37.0,1.38
2022,1,0,540,0.3,60.0,0.11,2,0.25,8.0,0.25
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,1800,0.98,570.0,0.32,7,0.88,28.0,-0.88
2011,1,0,540,0.3,60.0,0.11,5,0.62,8.0,-0.62
2016,1,0,570,0.31,150.0,0.26,2,0.25,8.0,-0.25
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2017,1,0,480,0.26,150.0,0.31,2,0.25,7.0,-0.25
2010,1,0,1560,0.85,330.0,0.21,6,0.75,24.0,-0.75
2019,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2021,1,0,1080,0.59,330.0,0.31,4,0.5,16.0,0.5
2022,1,0,600,0.33,120.0,0.2,2,0.25,9.0,0.25
2019,1,0,1980,1.08,240.0,0.12,9,1.12,31.0,1.12
2018,1,0,2250,1.23,540.0,0.24,11,1.38,35.0,1.38
2017,1,0,1170,0.64,720.0,0.62,5,0.62,17.0,-0.62
2020,1,0,870,0.48,330.0,0.38,3,0.38,13.0,-0.38
2022,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2016,1,0,1500,0.82,840.0,0.56,7,0.88,22.0,-0.88
2022,0,1,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2019,1,0,600,0.33,120.0,0.2,2,0.25,9.0,-0.25
2020,0,1,1440,0.79,210.0,0.15,7,0.88,22.0,0.88
2017,1,0,1560,0.85,480.0,0.31,8,1.0,24.0,-1.0
2010,1,0,1050,0.57,0.0,0.0,6,0.75,16.0,-0.75
2020,1,0,1530,0.84,240.0,0.16,7,0.88,24.0,0.88
2014,1,0,390,0.21,0.0,0.0,1,0.12,6.0,-0.12
2022,1,0,600,0.33,240.0,0.4,2,0.25,9.0,0.25
2019,1,0,540,0.3,150.0,0.28,2,0.25,8.0,-0.25
2012,1,0,810,0.44,420.0,0.52,3,0.38,12.0,-0.38
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2022,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2014,1,0,1320,0.72,420.0,0.32,6,0.75,19.0,-0.75
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2016,0,1,1170,0.64,300.0,0.26,5,0.62,17.0,-0.62
2017,1,0,2070,1.13,300.0,0.14,11,1.38,33.0,1.38
2010,0,1,2370,1.3,390.0,0.16,12,1.5,37.0,1.5
2020,1,0,1530,0.84,0.0,0.0,6,0.75,24.0,0.75
2011,1,0,330,0.18,270.0,0.82,1,0.12,5.0,-0.12
2018,1,0,540,0.3,60.0,0.11,2,0.25,8.0,-0.25
2012,0,1,2280,1.25,390.0,0.17,9,1.12,36.0,1.12
2009,1,0,1470,0.8,0.0,0.0,5,0.62,22.0,-0.62
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2015,1,0,2040,1.11,210.0,0.1,8,1.0,32.0,1.0
2016,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2012,1,0,1830,1.0,0.0,0.0,9,1.12,29.0,-1.12
2019,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2013,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2015,1,0,1260,0.69,180.0,0.14,9,1.12,21.0,1.12
2013,1,0,1980,1.08,150.0,0.08,9,1.12,31.0,1.12
2012,1,0,2580,1.41,660.0,0.26,10,1.25,40.0,-1.25
2019,0,1,1560,0.85,150.0,0.1,8,1.0,24.0,1.0
2019,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2011,1,0,1560,0.85,450.0,0.29,7,0.88,24.0,-0.88
2015,1,0,270,0.15,270.0,1.0,1,0.12,4.0,-0.12
2022,1,0,540,0.3,60.0,0.11,2,0.25,8.0,0.25
2019,1,0,1740,0.95,390.0,0.22,8,1.0,27.0,1.0
2014,1,0,2670,1.46,630.0,0.24,11,1.38,42.0,1.38
2013,1,0,2430,1.33,690.0,0.28,11,1.38,38.0,-1.38
2012,0,1,1860,1.02,0.0,0.0,9,1.12,29.0,1.12
2015,1,0,450,0.25,390.0,0.87,2,0.25,7.0,-0.25
2009,1,0,2070,1.13,510.0,0.25,9,1.12,33.0,-1.12
2015,1,0,1650,0.9,0.0,0.0,8,1.0,26.0,1.0
2016,1,0,1950,1.07,60.0,0.03,8,1.0,31.0,1.0
2018,1,0,2070,1.13,600.0,0.29,10,1.25,33.0,-1.25
2012,1,0,870,0.48,420.0,0.48,6,0.75,13.0,-0.75
2016,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2011,1,0,870,0.48,240.0,0.28,5,0.62,13.0,-0.62
2014,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2019,0,1,1800,0.98,90.0,0.05,9,1.12,28.0,1.12
2020,1,0,1470,0.8,0.0,0.0,7,0.88,23.0,0.88
2009,1,0,2160,1.18,270.0,0.12,9,1.12,34.0,-1.12
2018,1,0,2070,1.13,540.0,0.26,9,1.12,32.0,1.12
2013,0,1,990,0.54,0.0,0.0,4,0.5,15.0,-0.5
2020,1,0,60,0.03,60.0,1.0,1,0.12,1.0,0.12
2017,1,0,270,0.15,270.0,1.0,1,0.12,4.0,-0.12
2011,1,0,540,0.3,60.0,0.11,2,0.25,8.0,-0.25
2010,1,0,1950,1.07,330.0,0.17,9,1.12,29.0,-1.12
2011,0,1,630,0.34,420.0,0.67,3,0.38,9.0,-0.38
2017,1,0,1980,1.08,810.0,0.41,9,1.12,30.0,-1.12
2012,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,-1.0
2018,0,1,330,0.18,150.0,0.45,1,0.12,5.0,-0.12
2022,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2009,1,0,1470,0.8,270.0,0.18,7,0.88,22.0,-0.88
2017,1,0,1410,0.77,450.0,0.32,7,0.88,22.0,-0.88
2009,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,0,1,2220,1.21,330.0,0.15,10,1.25,35.0,1.25
2012,1,0,120,0.07,0.0,0.0,1,0.12,2.0,-0.12
2021,0,1,1230,0.67,0.0,0.0,4,0.5,19.0,0.5
2011,0,1,2790,1.52,960.0,0.34,14,1.75,42.0,1.75
2011,1,0,480,0.26,270.0,0.56,2,0.25,7.0,-0.25
2019,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2015,1,0,2310,1.26,480.0,0.21,9,1.12,36.0,1.12
2018,1,0,2070,1.13,300.0,0.14,11,1.38,33.0,1.38
2016,1,0,2250,1.23,480.0,0.21,10,1.25,35.0,1.25
2012,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2017,1,0,1380,0.75,540.0,0.39,8,1.0,21.0,-1.0
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2022,1,0,540,0.3,180.0,0.33,2,0.25,8.0,0.25
2016,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,1,0,390,0.21,0.0,0.0,2,0.25,6.0,-0.25
2018,1,0,870,0.48,600.0,0.69,3,0.38,13.0,-0.38
2011,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2009,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2015,1,0,480,0.26,0.0,0.0,3,0.38,7.0,-0.38
2014,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2014,1,0,600,0.33,90.0,0.15,4,0.5,9.0,-0.5
2010,1,0,1980,1.08,150.0,0.08,9,1.12,31.0,1.12
2014,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2020,1,0,1170,0.64,0.0,0.0,6,0.75,18.0,0.75
2021,1,0,330,0.18,270.0,0.82,1,0.12,5.0,-0.12
2013,0,1,2130,1.16,0.0,0.0,10,1.25,34.0,1.25
2022,1,0,540,0.3,120.0,0.22,2,0.25,8.0,0.25
2016,0,1,1980,1.08,150.0,0.08,8,1.0,31.0,1.0
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2022,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2017,1,0,1470,0.8,360.0,0.24,7,0.88,23.0,-0.88
2010,1,0,1590,0.87,450.0,0.28,7,0.88,24.0,-0.88
2011,1,0,810,0.44,570.0,0.7,3,0.38,12.0,-0.38
2012,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2013,1,0,390,0.21,150.0,0.38,3,0.38,6.0,-0.38
2012,1,0,750,0.41,270.0,0.36,3,0.38,11.0,-0.38
2012,1,0,240,0.13,0.0,0.0,1,0.12,4.0,-0.12
2021,1,0,750,0.41,60.0,0.08,3,0.38,11.0,0.38
2017,1,0,480,0.26,330.0,0.69,2,0.25,7.0,-0.25
2020,0,1,1530,0.84,990.0,0.65,6,0.75,23.0,0.75
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2018,0,1,2220,1.21,570.0,0.26,11,1.38,35.0,1.38
2010,1,0,2760,1.51,1350.0,0.49,14,1.75,42.0,-1.75
2014,1,0,2160,1.18,990.0,0.46,9,1.12,32.0,-1.12
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2010,1,0,2640,1.44,1050.0,0.4,13,1.62,39.0,-1.62
2013,0,1,1770,0.97,0.0,0.0,7,0.88,28.0,0.88
2016,1,0,2220,1.21,90.0,0.04,10,1.25,35.0,1.25
2020,1,0,1590,0.87,360.0,0.23,7,0.88,24.0,0.88
2012,1,0,930,0.51,210.0,0.23,3,0.38,14.0,-0.38
2013,1,0,540,0.3,0.0,0.0,2,0.25,8.0,-0.25
2018,1,0,1020,0.56,330.0,0.32,4,0.5,15.0,-0.5
2015,1,0,2190,1.2,420.0,0.19,9,1.12,34.0,-1.12
2020,1,0,1110,0.61,60.0,0.05,6,0.75,17.0,0.75
2012,1,0,2100,1.15,270.0,0.13,11,1.38,33.0,1.38
2014,0,1,2340,1.28,480.0,0.21,10,1.25,36.0,1.25
2009,1,0,780,0.43,0.0,0.0,4,0.5,11.0,-0.5
2011,1,0,2370,1.3,450.0,0.19,11,1.38,37.0,-1.38
2021,0,1,1080,0.59,120.0,0.11,4,0.5,16.0,0.5
2022,0,1,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2011,1,0,480,0.26,150.0,0.31,2,0.25,7.0,-0.25
2019,1,0,1350,0.74,360.0,0.27,5,0.62,20.0,-0.62
2016,0,1,330,0.18,120.0,0.36,1,0.12,5.0,-0.12
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2020,0,1,690,0.38,690.0,1.0,3,0.38,10.0,-0.38
2010,1,0,2640,1.44,750.0,0.28,12,1.5,41.0,-1.5
2020,1,0,330,0.18,90.0,0.27,1,0.12,5.0,-0.12
2014,1,0,2670,1.46,900.0,0.34,14,1.75,41.0,1.75
2020,1,0,1410,0.77,210.0,0.15,7,0.88,22.0,0.88
2009,1,0,2190,1.2,180.0,0.08,11,1.38,35.0,-1.38
2009,1,0,1590,0.87,0.0,0.0,8,1.0,25.0,1.0
2020,1,0,1200,0.66,510.0,0.42,5,0.62,18.0,0.62
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2011,0,1,1710,0.93,630.0,0.37,7,0.88,25.0,-0.88
2021,1,0,750,0.41,270.0,0.36,4,0.5,11.0,0.5
2021,1,0,870,0.48,450.0,0.52,4,0.5,13.0,-0.5
2016,1,0,390,0.21,270.0,0.69,2,0.25,6.0,-0.25
2014,1,0,2460,1.34,690.0,0.28,10,1.25,38.0,1.25
2018,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2019,1,0,540,0.3,270.0,0.5,2,0.25,8.0,-0.25
2015,1,0,1830,1.0,60.0,0.03,7,0.88,29.0,0.88
2019,1,0,2160,1.18,630.0,0.29,9,1.12,32.0,1.12
2020,1,0,570,0.31,60.0,0.11,3,0.38,9.0,0.38
2009,1,0,1260,0.69,270.0,0.21,4,0.5,19.0,-0.5
2019,1,0,330,0.18,270.0,0.82,1,0.12,5.0,-0.12
2011,0,1,1620,0.89,60.0,0.04,7,0.88,25.0,-0.88
2010,0,1,1920,1.05,390.0,0.2,11,1.38,30.0,-1.38
2014,0,1,1110,0.61,690.0,0.62,5,0.62,16.0,-0.62
2010,0,1,1020,0.56,180.0,0.18,4,0.5,15.0,-0.5
2021,1,0,1170,0.64,180.0,0.15,4,0.5,18.0,0.5
2022,0,1,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2010,0,1,2130,1.16,900.0,0.42,9,1.12,33.0,-1.12
2010,1,0,2490,1.36,120.0,0.05,10,1.25,39.0,1.25
2014,1,0,1830,1.0,930.0,0.51,7,0.88,28.0,-0.88
2013,1,0,1560,0.85,780.0,0.5,8,1.0,25.0,-1.0
2009,1,0,540,0.3,480.0,0.89,4,0.5,8.0,-0.5
2012,1,0,1710,0.93,360.0,0.21,9,1.12,26.0,-1.12
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,1,0,480,0.26,150.0,0.31,2,0.25,7.0,-0.25
2017,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2014,1,0,540,0.3,210.0,0.39,2,0.25,8.0,-0.25
2021,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2013,1,0,2100,1.15,780.0,0.37,8,1.0,31.0,-1.0
2019,0,1,780,0.43,180.0,0.23,5,0.62,12.0,-0.62
2011,1,0,1080,0.59,360.0,0.33,7,0.88,16.0,-0.88
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2018,1,0,870,0.48,120.0,0.14,3,0.38,14.0,-0.38
2022,1,0,540,0.3,60.0,0.11,2,0.25,8.0,0.25
2019,1,0,1890,1.03,60.0,0.03,8,1.0,30.0,1.0
2021,1,0,540,0.3,150.0,0.28,2,0.25,8.0,-0.25
2010,0,1,600,0.33,120.0,0.2,2,0.25,9.0,-0.25
2009,1,0,2010,1.1,180.0,0.09,8,1.0,32.0,-1.0
2013,0,1,1950,1.07,180.0,0.09,9,1.12,31.0,1.12
2009,0,1,2580,1.41,570.0,0.22,11,1.38,41.0,-1.38
2021,1,0,480,0.26,120.0,0.25,2,0.25,7.0,0.25
2015,1,0,1080,0.59,360.0,0.33,4,0.5,16.0,-0.5
2015,1,0,330,0.18,150.0,0.45,1,0.12,5.0,-0.12
2017,1,0,2250,1.23,270.0,0.12,10,1.25,35.0,1.25
2012,1,0,1050,0.57,0.0,0.0,4,0.5,16.0,-0.5
2015,1,0,2070,1.13,240.0,0.12,9,1.12,32.0,-1.12
2019,1,0,2040,1.11,660.0,0.32,9,1.12,32.0,1.12
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2010,0,1,2220,1.21,450.0,0.2,11,1.38,35.0,-1.38
2017,1,0,1260,0.69,240.0,0.19,6,0.75,18.0,-0.75
2011,1,0,2310,1.26,330.0,0.14,10,1.25,36.0,1.25
2011,1,0,2070,1.13,90.0,0.04,9,1.12,32.0,1.12
2009,1,0,1380,0.75,480.0,0.35,5,0.62,21.0,-0.62
2016,1,0,2370,1.3,240.0,0.1,12,1.5,38.0,1.5
2009,1,0,1680,0.92,210.0,0.12,7,0.88,25.0,-0.88
2022,1,0,600,0.33,0.0,0.0,2,0.25,9.0,0.25
2019,1,0,570,0.31,270.0,0.47,3,0.38,9.0,-0.38
2011,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2016,1,0,1890,1.03,120.0,0.06,8,1.0,30.0,1.0
2020,1,0,1230,0.67,0.0,0.0,6,0.75,19.0,0.75
2009,1,0,2730,1.49,600.0,0.22,14,1.75,44.0,1.75
2018,1,0,2130,1.16,240.0,0.11,11,1.38,34.0,1.38
2022,1,0,600,0.33,330.0,0.55,2,0.25,9.0,-0.25
2012,1,0,1230,0.67,900.0,0.73,5,0.62,18.0,-0.62
2021,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2019,1,0,1440,0.79,510.0,0.35,6,0.75,22.0,0.75
2016,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2011,1,0,1050,0.57,180.0,0.17,8,1.0,17.0,-1.0
2021,1,0,1050,0.57,270.0,0.26,4,0.5,16.0,0.5
2017,1,0,1830,1.0,60.0,0.03,9,1.12,29.0,1.12
2012,1,0,2100,1.15,240.0,0.11,9,1.12,33.0,1.12
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,2130,1.16,240.0,0.11,10,1.25,34.0,-1.25
2014,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2015,0,1,1890,1.03,510.0,0.27,11,1.38,28.0,-1.38
2017,1,0,2160,1.18,120.0,0.06,9,1.12,34.0,1.12
2014,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2009,0,1,1890,1.03,180.0,0.1,8,1.0,30.0,-1.0
2011,1,0,1740,0.95,690.0,0.4,10,1.25,27.0,-1.25
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2015,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2011,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2015,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2017,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2015,1,0,2130,1.16,240.0,0.11,9,1.12,34.0,-1.12
2017,1,0,1830,1.0,0.0,0.0,9,1.12,29.0,1.12
2016,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,1,0,630,0.34,0.0,0.0,3,0.38,9.0,-0.38
2021,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2018,1,0,1440,0.79,210.0,0.15,7,0.88,21.0,-0.88
2015,1,0,1770,0.97,0.0,0.0,6,0.75,28.0,0.75
2017,1,0,1080,0.59,270.0,0.25,4,0.5,16.0,-0.5
2009,1,0,930,0.51,0.0,0.0,4,0.5,14.0,-0.5
2019,0,1,450,0.25,270.0,0.6,3,0.38,7.0,-0.38
2009,0,1,2280,1.25,480.0,0.21,9,1.12,36.0,-1.12
2013,0,1,540,0.3,480.0,0.89,2,0.25,8.0,-0.25
2012,1,0,1170,0.64,0.0,0.0,6,0.75,19.0,0.75
2014,1,0,270,0.15,120.0,0.44,2,0.25,4.0,-0.25
2019,1,0,1170,0.64,240.0,0.21,5,0.62,18.0,-0.62
2015,1,0,690,0.38,390.0,0.57,3,0.38,10.0,-0.38
2013,1,0,840,0.46,0.0,0.0,6,0.75,14.0,0.75
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2011,1,0,420,0.23,240.0,0.57,2,0.25,6.0,-0.25
2018,1,0,480,0.26,330.0,0.69,3,0.38,7.0,-0.38
2014,1,0,2370,1.3,540.0,0.23,12,1.5,37.0,1.5
2012,1,0,2100,1.15,240.0,0.11,9,1.12,33.0,1.12
2021,1,0,1050,0.57,270.0,0.26,4,0.5,16.0,0.5
2011,1,0,2850,1.56,780.0,0.27,14,1.75,47.0,-1.75
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2016,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,-0.25
2019,1,0,540,0.3,150.0,0.28,2,0.25,8.0,-0.25
2022,1,0,540,0.3,270.0,0.5,2,0.25,8.0,0.25
2016,1,0,2430,1.33,480.0,0.2,11,1.38,38.0,1.38
2020,1,0,1350,0.74,0.0,0.0,7,0.88,21.0,0.88
2014,1,0,2670,1.46,630.0,0.24,12,1.5,41.0,1.5
2012,1,0,210,0.11,210.0,1.0,1,0.12,3.0,-0.12
